ConsCode,Ticker,Price,IndexShares,Weight%
C176364,1,12.62,1358414274,0.04016
C176365,725,4.47,2625674310,0.027495
C176366,2304,158.66,105489160,0.039208
C176367,2027,6.44,1010953981,0.015252
C176368,776,16.45,414350402,0.015968
C176369,166,4.24,1577516119,0.015669
C176371,2594,249.28,126920000,0.074118
C176372,538,55.91,113876487,0.014915
C176373,63,37,278486210,0.024138
C176374,2142,27.44,462251355,0.029714
C176375,568,249,103013055,0.060089
C176377,69,5.12,574125574,0.006886
C176378,2230,65.5,162702767,0.024965
C176379,2466,75.92,103396957,0.018389
C176380,2236,27,212321282,0.01343
C176381,2460,64.19,112622745,0.016935
C176382,2241,23.02,239142473,0.012896
C176383,895,26.08,223210799,0.013637
C176384,2475,31.1,495901102,0.036129
C176385,300059,22.45,924991378,0.048647
C176387,2739,14.46,152555817,0.005168
C176388,300070,5.4,253694655,0.003209
C176389,2736,9.59,360466102,0.008098
C176390,2456,5.37,228047224,0.002869
C176391,300072,4.01,164480421,0.001545
C176392,2673,6.51,312870719,0.004771
C176394,783,5.64,387097014,0.005114
C176395,625,11.84,579612925,0.016077
C176396,2252,6.49,471855153,0.007174
C176399,709,2.32,723598476,0.003933
C176400,300124,68.52,184540088,0.029622
C176401,963,47.21,122486668,0.013546
C176402,338,12.41,474846177,0.013805
C176403,792,22.3,380301367,0.019867
C176404,100,4.63,1195032412,0.012962
C176405,2008,31.88,52586889,0.003927
C176406,728,6.97,305464452,0.004988
C176407,423,52.35,45781508,0.005614
C176408,2085,6.15,149909720,0.00216
C176409,2714,49.43,383059887,0.044357
C176410,2508,29.4,66431684,0.004575
C176411,2468,11.27,107156152,0.002829
C176412,300136,22.07,67729805,0.003502
C176413,300408,33.09,134154816,0.010399
C176414,300003,24.1,132510860,0.007481
C176415,2601,19.85,166684718,0.007751
C176416,807,13.1,242757018,0.00745
C176418,300015,30.44,502356773,0.035823
C176419,2065,8.41,224383766,0.004421
C176420,983,10.73,364207419,0.009155
C176421,2092,7.21,180301766,0.003045
C176422,2500,5.92,251284008,0.003485
C176423,300033,220,37632000,0.019395
C176424,300024,11.92,108514837,0.00303
C176425,627,3.43,256403002,0.00206
C176426,2405,14.93,166218298,0.005814
C176427,559,5.13,231265394,0.002779
C176429,630,3.17,736857332,0.005472
C176430,2340,7.42,359491059,0.006249
C176431,876,14.1,315352981,0.010416
C176432,2670,8.77,135455926,0.002783
C176433,998,16.2,92187921,0.003499
C176434,300498,21.4,130924916,0.006564
C176435,300115,14,84071940,0.002757
C176436,300296,7.02,178003103,0.002927
C176437,2217,3.16,202567054,0.0015
C176438,2050,24.75,71821981,0.004164
C176440,2572,20.8,34747613,0.001693
C176441,2081,5.37,186994058,0.002352
C176442,2311,56.99,116281274,0.015524
C176443,2074,28.51,124521238,0.008317
C176444,300122,83,112000000,0.021777
C176445,825,4.35,398737346,0.004063
C176448,300251,9.53,205352590,0.004585
C176449,300418,50.5,82392390,0.009747
C176450,2384,29.43,119690713,0.008252
C176451,300017,7.61,171292086,0.003054
C176452,157,6.39,496721938,0.007436
C176453,883,4.23,427690783,0.004238
C176454,898,2.92,415956557,0.002845
C176455,2555,31,100580145,0.007304
C176456,2635,15.09,47827094,0.001691
C176457,2602,6.64,521678988,0.008115
C176458,2583,6.45,127125578,0.001921
C176459,300144,16.74,183028583,0.007178
C176460,786,28.14,118265549,0.007796
C176461,999,58.35,68523000,0.009367
C176463,887,12.4,92154282,0.002677
C176464,2294,37.7,70233442,0.006203
C176467,623,15.73,81413292,0.003
C176469,300433,13.63,348143600,0.011116
C176470,2465,10.62,161311407,0.004013
C176471,977,38.18,101760492,0.009102
C176472,778,4.21,279304114,0.002755
C176473,938,34.16,92952596,0.007438
C176475,2153,24.33,146956591,0.008376
C176476,2385,7.77,289889730,0.005277
C176477,66,13.69,225805936,0.007242
C176478,300142,36.09,112094142,0.009477
C176479,2007,23.71,127705671,0.007093
C176480,2422,28.79,99779600,0.00673
C176482,2001,18.12,216585160,0.009194
C176484,28,46.5,26126976,0.002846
C176485,959,3.81,529457584,0.004726
C176486,686,6.88,163831704,0.002641
